attractions,dress,level,city,longitude,latitude
重庆武隆喀斯特旅游区（天生三桥·仙女山·芙蓉洞）,重庆市武隆区重庆武隆喀斯特旅游区（天生三桥·仙女山·芙蓉洞）,5A,重庆市,107.7800815,29.37362448
重庆酉阳桃花源景区,重庆市酉阳县重庆酉阳桃花源景区,5A,重庆市,108.7625673,28.86247466
重庆万盛黑山谷景区,重庆市万盛经开区重庆万盛黑山谷景区,5A,重庆市,106.9227726,28.96839384
重庆南川金佛山景区,重庆市南川区重庆南川金佛山景区,5A,重庆市,107.0383795,29.09574707
重庆江津四面山景区,重庆市江津区重庆江津四面山景区,5A,重庆市,106.3869278,28.61952442
重庆云阳龙缸景区,重庆市云阳县重庆云阳龙缸景区,5A,重庆市,108.9024685,30.95756906
重庆彭水阿依河景区,重庆市彭水县重庆彭水阿依河景区,5A,重庆市,108.1160742,29.15345392
重庆黔江濯水景区,重庆市黔江区重庆黔江濯水景区,5A,重庆市,108.7676754,29.29653999
青城山--都江堰旅游景区,四川省成都市都江堰市青城镇\成都都江堰市城西青城山--都江堰旅游景区,5A,四川省,103.5927947,30.9021799
峨眉山风景名胜区,四川省乐山市峨眉山市黄湾乡峨眉山风景名胜区,5A,四川省,103.3475961,29.57043774
九寨沟风景名胜区,四川省阿坝州九寨沟县漳扎镇九寨沟风景名胜区,5A,四川省,103.8936525,33.20017317
乐山大佛景区,四川省乐山市市中区篦子街乐山大佛景区,5A,四川省,103.7722806,29.54115274
黄龙国家级风景名胜区,四川省阿坝州松潘县瑟尔磋寨黄龙国家级风景名胜区,5A,四川省,103.907142,32.7847749
汶川特别旅游区,四川省阿坝州汶川县国家级风景区管理局汶川特别旅游区,5A,四川省,103.4171533,30.93377123
